Path	Replication	ModificationTime	AccessTime	PreferredBlockSize	BlocksCount	FileSize	NSQUOTA	DSQUOTA	Permission	UserName	GroupName
/tmp/hive/root/6f38694b-39fb-4598-abec-62de00a1efd9/_tmp_space.db	0	2022-07-22 18:00	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/24c2ab49-fc02-46a5-afc9-f0fb930d52ef	0	2022-07-22 18:01	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/24c2ab49-fc02-46a5-afc9-f0fb930d52ef/_tmp_space.db	0	2022-07-22 18:01	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/25b42890-9039-4aff-954b-9bb7b719ab3c	0	2022-07-22 18:01	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/25b42890-9039-4aff-954b-9bb7b719ab3c/_tmp_space.db	0	2022-07-22 18:01	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/8f36701b-4391-47a2-91f2-4eca4e9c29ae	0	2022-07-22 18:02	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/8f36701b-4391-47a2-91f2-4eca4e9c29ae/_tmp_space.db	0	2022-07-22 18:02	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/63d35664-b728-4c7e-ae97-94a5f9a5ec24	0	2022-07-22 18:02	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/63d35664-b728-4c7e-ae97-94a5f9a5ec24/_tmp_space.db	0	2022-07-22 18:02	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/311d9013-bb99-4a16-a743-b34706b2f997	0	2022-07-22 18:03	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/311d9013-bb99-4a16-a743-b34706b2f997/_tmp_space.db	0	2022-07-22 18:03	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/cd8d788d-bc9d-4d0d-b91b-6e913bdd817a	0	2022-07-22 18:03	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/cd8d788d-bc9d-4d0d-b91b-6e913bdd817a/_tmp_space.db	0	2022-07-22 18:03	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/95a88a7e-1e8f-41b7-b79f-2ff78c00edcd	0	2022-07-22 18:04	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/95a88a7e-1e8f-41b7-b79f-2ff78c00edcd/_tmp_space.db	0	2022-07-22 18:04	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/fec9b95a-ed3e-4bbb-a552-66695ae08c99	0	2022-07-22 18:04	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
/tmp/hive/root/fec9b95a-ed3e-4bbb-a552-66695ae08c99/_tmp_space.db	0	2022-07-22 18:04	1970-01-01 08:00	0	0	0	-1	-1	drwx------	root	supergroup
